@relation 'mydata-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R39-weka.filters.unsupervised.attribute.NumericToNominal-R11-38-weka.filters.unsupervised.attribute.Remove-R2,12,14-15,21-23,26-28,30,33-34'

@attribute ratingCount numeric
@attribute year numeric
@attribute type {'',game,video.episode,video.movie,video.tv}
@attribute nrOfWins numeric
@attribute nrOfNominations numeric
@attribute nrOfPhotos numeric
@attribute nrOfNewsArticles numeric
@attribute nrOfUserReviews numeric
@attribute nrOfGenre numeric
@attribute Action {0,1}
@attribute Adventure {0,1}
@attribute Comedy {0,1}
@attribute Crime {0,1}
@attribute Documentary {0,1}
@attribute Drama {0,1}
@attribute Family {0,1}
@attribute History {0,1}
@attribute Horror {0,1}
@attribute News {0,1}
@attribute Romance {0,1}
@attribute SciFi {0,1}
@attribute TalkShow {0,1}
@attribute Thriller {0,1}
@attribute War {0,1}
@attribute Western {0,1}
@attribute imdbRating {'\'(-inf-2.5]\'','\'(2.5-5.0]\'','\'(5.0-7.5]\'','\'(7.5-inf)\''}

@data
127022,1981,video.movie,13,5,94,67,397,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
473742,1981,video.movie,25,22,69,2004,691,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
350268,1982,video.movie,10,15,104,4395,1072,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,'\'(7.5-inf)\''
30266,1982,video.movie,20,7,20,99,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
121887,1982,video.movie,30,16,108,304,222,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
188733,1982,video.movie,0,0,40,1702,849,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,'\'(7.5-inf)\''
85811,1983,video.movie,3,11,27,621,431,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
445123,1983,video.movie,12,14,94,1879,558,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
198201,1984,video.movie,33,13,66,242,500,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
60197,1984,video.movie,3,0,11,41,161,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
159607,1984,video.movie,13,4,49,187,461,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
413108,1984,video.movie,5,6,67,3869,602,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
478445,1985,video.movie,13,24,78,3628,680,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
58697,1985,video.movie,28,18,25,106,220,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
353899,1986,video.movie,16,21,95,2150,998,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
217699,1986,video.movie,22,10,47,467,476,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
198139,1986,video.movie,3,10,60,903,536,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
61387,1986,video.movie,1,0,20,132,152,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
334586,1987,video.movie,7,7,53,621,621,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
222749,1987,video.movie,5,8,71,958,662,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
431906,1988,video.movie,6,2,63,2360,667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
85046,1988,video.movie,3,0,16,156,436,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
103093,1988,video.movie,19,22,60,215,357,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
101445,1988,video.movie,5,1,39,330,273,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
364585,1989,video.movie,4,19,66,362,440,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
515242,1990,video.movie,40,23,68,1504,883,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
208331,1991,video.movie,21,19,81,3057,310,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
584102,1991,video.movie,44,30,80,1076,798,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
523543,1991,video.movie,20,19,71,855,869,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,'\'(7.5-inf)\''
454684,1992,video.movie,11,9,72,1603,855,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
205938,1992,video.movie,40,20,67,568,453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,'\'(7.5-inf)\''
309177,1993,video.movie,6,7,55,1237,542,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
74591,1993,video.movie,9,15,25,318,139,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
599579,1993,video.movie,70,25,52,857,1095,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
799314,1994,video.movie,38,46,56,1908,1133,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
408078,1994,video.movie,25,22,111,2908,542,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
501117,1994,video.movie,3,8,58,1194,754,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
911042,1994,video.movie,62,46,87,3824,1818,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
1183395,1994,video.movie,15,15,66,1913,3046,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
47730,1994,video.movie,18,15,31,29,116,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
119333,1995,video.movie,1,2,18,763,351,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
523797,1995,video.movie,19,20,89,975,1008,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
236730,1995,video.movie,3,7,69,550,498,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
72274,1995,video.movie,8,12,32,70,154,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
324264,1995,video.movie,0,0,64,1030,841,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
691425,1995,video.movie,25,18,58,1953,977,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
410650,1995,video.movie,19,13,121,5068,311,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
342200,1995,video.movie,10,8,47,335,498,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,'\'(7.5-inf)\''
30610,1995,video.movie,6,6,10,38,118,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
523742,1995,video.movie,29,7,53,1212,1110,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
310335,1996,video.movie,60,32,30,815,752,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
343921,1996,video.movie,19,15,71,1343,482,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
55016,2000,video.movie,35,27,28,154,293,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
380503,1998,video.movie,1,9,73,1394,972,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
266261,1997,video.movie,56,31,56,98,972,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
414269,1997,video.movie,18,37,73,1462,611,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
319796,1997,video.movie,78,48,59,82,591,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
150101,1997,video.movie,11,5,49,297,516,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
455656,1998,video.movie,32,37,113,702,789,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
550302,1998,video.movie,3,9,42,472,1344,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
499240,1999,video.movie,15,23,45,808,1290,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
